18901800|00017EF0|00000ED6|\snd\adx\mev\s000900_01_13all.adx
18919800|00007AB6|00000EE0|\snd\adx\mev\s000900_01_14all.adx
18921800|0001470A|00000EEA|\snd\adx\mev\s000900_01_15all.adx
18936000|00008698|00000EFC|\snd\adx\mev\s000900_02shi.adx
1893E800|00008044|00000F06|\snd\adx\mev\s000900_03shi.adx
18947000|0000CADE|00000F19|\snd\adx\mev\s001000_01all.adx
18954000|00006E8C|00000F26|\snd\adx\mev\s001000_02shi.adx
1895B000|00010234|00000F3A|\snd\adx\mev\s001000_03_1all.adx
1896B800|0000727C|00000F44|\snd\adx\mev\s001000_03_2all.adx
18973000|00008380|00000F4E|\snd\adx\mev\s001000_03_3all.adx
1897B800|00010690|00000F5D|\snd\adx\mev\s001000_04_1shi.adx
1898C000|000072B2|00000F71|\snd\adx\mev\s001000_04_2_1shi.adx
18993800|000071A4|00000F7B|\snd\adx\mev\s001000_04_2_2shi.adx
1899B000|0000765A|00000F8F|\snd\adx\mev\s001000_05_1all.adx
189A2800|0000808C|00000F99|\snd\adx\mev\s001000_05_2all.adx
189AB000|0000AC36|00000FA3|\snd\adx\mev\s001000_05_3all.adx
189B6000|0000CCC4|00000FB7|\snd\adx\mev\s001000_05_4_1all.adx
189C3000|000081D0|00000FC1|\snd\adx\mev\s001000_05_4_2all.adx
189CB800|0000EB36|00000FD2|\snd\adx\mev\s001000_06_1_1shi.adx
189DA800|000060D6|00000FDC|\snd\adx\mev\s001000_06_1_2shi.adx
189E1000|0000E998|00000FE8|\snd\adx\mev\s001000_06_2_1shi.adx
189F0000|00008AF4|00000FF2|\snd\adx\mev\s001000_06_2_2shi.adx
189F9000|00009112|00001006|\snd\adx\mev\s001000_07_1all.adx
18A02800|00004786|00001010|\snd\adx\mev\s001000_07_2all.adx
18A07000|0000D012|00001022|\snd\adx\mev\s001000_08shi.adx
18A14800|00007D3E|0000102F|\snd\adx\mev\s001000_09all.adx
18A1C800|000037D8|0000103D|\snd\adx\mev\s001000_10shi.adx
18A20000|00003F70|0000104A|\snd\adx\mev\s001000_11all.adx
18A24000|00004480|0000105C|\snd\adx\mev\s001100_01shi.adx
18A28800|0001421E|00001069|\snd\adx\mev\s001100_02kev.adx
18A3D000|0000916C|00001076|\snd\adx\mev\s001100_03shi.adx
18A46800|0000EEBA|0000108A|\snd\adx\mev\s001100_04_1kev.adx
18A55800|00012898|00001094|\snd\adx\mev\s001100_04_2kev.adx
18A68800|00010C8A|000010A8|\snd\adx\mev\s001100_04_3_1kev.adx
18A79800|000073C0|000010B2|\snd\adx\mev\s001100_04_3_2kev.adx
18A81000|00004024|000010C4|\snd\adx\mev\s001100_05shi.adx
18A85800|000061F6|000010D1|\snd\adx\mev\s001100_06kev.adx
18A8C000|0000FF0A|000010DE|\snd\adx\mev\s001100_07shi.adx
18A9C000|00013F72|000010E8|\snd\adx\mev\s001100_08shi.adx
18AB0000|00006532|000010F5|\snd\adx\mev\s001100_09kev.adx
18AB6800|0000FAD2|0000110A|\snd\adx\mev\s001100_10_1shi.adx
18AC6800|00008674|00001114|\snd\adx\mev\s001100_10_2shi.adx
18ACF000|0000365E|00001123|\snd\adx\mev\s001100_11_1kev.adx
18AD2800|0000D4EC|0000112D|\snd\adx\mev\s001100_11_2kev.adx
18AE0000|0000C12A|00001137|\snd\adx\mev\s001100_11_3kev.adx
18AEC800|0000F316|00001141|\snd\adx\mev\s001100_11_4kev.adx
18AFC000|00003D66|00001153|\snd\adx\mev\s001100_12shi.adx
18B00000|00007F6C|00001167|\snd\adx\mev\s001100_13_1kev.adx
18B08000|000141E8|00001171|\snd\adx\mev\s001100_13_2kev.adx
18B1C800|0000ED88|0000117B|\snd\adx\mev\s001100_13_3kev.adx
18B2B800|000044DA|00001185|\snd\adx\mev\s001100_13_4kev.adx
18B30000|00006400|00001197|\snd\adx\mev\s001100_14shi.adx
18B36800|0000F2E0|000011A4|\snd\adx\mev\s001100_15kev.adx
18B46000|00005D40|000011B8|\snd\adx\mev\s001100_16_1shi.adx
18B4C000|00008CB6|000011C2|\snd\adx\mev\s001100_16_2shi.adx
18B55000|00008284|000011D3|\snd\adx\mev\s001200_01_1shi.adx
18B5D800|0000B980|000011DD|\snd\adx\mev\s001200_01_2shi.adx
18B69800|0000FD5A|000011E9|\snd\adx\mev\s001200_02_1shi.adx
18B79800|0000F22C|000011F3|\snd\adx\mev\s001200_02_2shi.adx
18B89000|00008E1E|000011FD|\snd\adx\mev\s001200_02_3shi.adx
18B92000|000053D4|00001207|\snd\adx\mev\s001200_02_4shi.adx
18B97800|0000A9D2|0000121E|\snd\adx\mev\s001300_01kev.adx
18BA2800|0000E854|0000122B|\snd\adx\mev\s001300_02wil.adx
18BB1800|0000B5C6|00001238|\snd\adx\mev\s001300_03kev.adx
18BBD000|00015D42|0000124C|\snd\adx\mev\s001300_04_1wil.adx
18BD3000|00012BD4|00001256|\snd\adx\mev\s001300_04_2wil.adx
18BE6000|00008FF2|00001260|\snd\adx\mev\s001300_04_3wil.adx
18BEF000|00015F94|0000126C|\snd\adx\mev\s001300_05_1wil.adx
